epoch,loss,lr,mae,val_loss,val_mae
0,0.17566439509391785,1e-04,0.17566439509391785,0.14632482826709747,0.14632482826709747
1,0.13425031304359436,1e-04,0.13425031304359436,0.1290501207113266,0.1290501207113266
2,0.12190255522727966,1e-04,0.12190255522727966,0.11427012830972672,0.11427012830972672
3,0.11402196437120438,1e-04,0.11402196437120438,0.11868570744991302,0.11868570744991302
4,0.10803184658288956,1e-04,0.10803184658288956,0.11002681404352188,0.11002681404352188
5,0.1032913401722908,1e-04,0.1032913401722908,0.10296455025672913,0.10296455025672913
6,0.09977570176124573,1e-04,0.09977570176124573,0.09928067028522491,0.09928067028522491
7,0.09663625061511993,1e-04,0.09663625061511993,0.09836052358150482,0.09836052358150482
8,0.09394603967666626,1e-04,0.09394603967666626,0.09462199360132217,0.09462199360132217
9,0.09175510704517365,1e-04,0.09175510704517365,0.09743106365203857,0.09743106365203857
10,0.08958180248737335,1e-04,0.08958180248737335,0.09690691530704498,0.09690691530704498
11,0.0876150131225586,1e-04,0.0876150131225586,0.09527234733104706,0.09527234733104706
12,0.08578681945800781,1e-04,0.08578681945800781,0.09061236679553986,0.09061236679553986
13,0.08466890454292297,1e-04,0.08466890454292297,0.09383738040924072,0.09383738040924072
14,0.08273941278457642,1e-04,0.08273941278457642,0.09232088923454285,0.09232088923454285
15,0.08131594210863113,1e-04,0.08131594210863113,0.09179158508777618,0.09179158508777618
16,0.07995683699846268,1e-04,0.07995683699846268,0.09165982902050018,0.09165982902050018
17,0.07901123911142349,1e-04,0.07901123911142349,0.08940131962299347,0.08940131962299347
18,0.07749438285827637,1e-04,0.07749438285827637,0.09225255250930786,0.09225255250930786
19,0.07627568393945694,1e-04,0.07627568393945694,0.08807124197483063,0.08807124197483063
20,0.07526981085538864,1e-04,0.07526981085538864,0.08971133828163147,0.08971133828163147
21,0.07419535517692566,1e-04,0.07419535517692566,0.08994591236114502,0.08994591236114502
22,0.07323052734136581,1e-04,0.07323052734136581,0.08938495814800262,0.08938495814800262
23,0.07223103195428848,1e-04,0.07223103195428848,0.08821428567171097,0.08821428567171097
24,0.07109159976243973,1e-04,0.07109159976243973,0.09028500318527222,0.09028500318527222
25,0.0632779598236084,2.5e-05,0.0632779598236084,0.08365742117166519,0.08365742117166519
26,0.060753777623176575,2.5e-05,0.060753777623176575,0.08361626416444778,0.08361626416444778
27,0.05915755033493042,2.5e-05,0.05915755033493042,0.08307910710573196,0.08307910710573196
28,0.05779172480106354,2.5e-05,0.05779172480106354,0.08327685296535492,0.08327685296535492
29,0.05661749094724655,2.5e-05,0.05661749094724655,0.08390253037214279,0.08390253037214279
30,0.05589388310909271,2.5e-05,0.05589388310909271,0.08386410772800446,0.08386410772800446
31,0.05503567308187485,2.5e-05,0.05503567308187485,0.08354457467794418,0.08354457467794418
32,0.05422934517264366,2.5e-05,0.05422934517264366,0.08381156623363495,0.08381156623363495
33,0.05207056179642677,6.25e-06,0.05207056179642677,0.08314241468906403,0.08314241468906403
34,0.05105944350361824,6.25e-06,0.05105944350361824,0.08305178582668304,0.08305178582668304
35,0.050446394830942154,6.25e-06,0.050446394830942154,0.08319491893053055,0.08319491893053055
36,0.05011047050356865,6.25e-06,0.05011047050356865,0.08332918584346771,0.08332918584346771
37,0.049730729311704636,6.25e-06,0.049730729311704636,0.08311387151479721,0.08311387151479721
38,0.04947343468666077,1.5625e-06,0.04947343468666077,0.08298371732234955,0.08298371732234955
39,0.049011923372745514,1.5625e-06,0.049011923372745514,0.08328041434288025,0.08328041434288025
40,0.04875783994793892,1.5625e-06,0.04875783994793892,0.08304401487112045,0.08304401487112045
41,0.04865407943725586,1.5625e-06,0.04865407943725586,0.08326291292905807,0.08326291292905807
42,0.04857099428772926,1.5625e-06,0.04857099428772926,0.08301413059234619,0.08301413059234619
43,0.048683807253837585,3.90625e-07,0.048683807253837585,0.08306979387998581,0.08306979387998581
44,0.048402268439531326,3.90625e-07,0.048402268439531326,0.08316498249769211,0.08316498249769211
45,0.048306554555892944,3.90625e-07,0.048306554555892944,0.08302959054708481,0.08302959054708481
46,0.048306576907634735,3.90625e-07,0.048306576907634735,0.0831495001912117,0.0831495001912117
47,0.04831753671169281,3.90625e-07,0.04831753671169281,0.08303460478782654,0.08303460478782654
48,0.04844404384493828,9.765625e-08,0.04844404384493828,0.08306743949651718,0.08306743949651718
49,0.04819754511117935,9.765625e-08,0.04819754511117935,0.08309286087751389,0.08309286087751389
50,0.04817484691739082,9.765625e-08,0.04817484691739082,0.0830424427986145,0.0830424427986145
51,0.04823886975646019,9.765625e-08,0.04823886975646019,0.08308594673871994,0.08308594673871994
52,0.048258982598781586,9.765625e-08,0.048258982598781586,0.08306492865085602,0.08306492865085602
53,0.048293519765138626,2.4414062e-08,0.048293519765138626,0.0830579623579979,0.0830579623579979
54,0.04816635698080063,2.4414062e-08,0.04816635698080063,0.08306799083948135,0.08306799083948135
55,0.04816339910030365,2.4414062e-08,0.04816339910030365,0.08305387198925018,0.08305387198925018
56,0.04816862568259239,2.4414062e-08,0.04816862568259239,0.08306822925806046,0.08306822925806046
57,0.04827335476875305,2.4414062e-08,0.04827335476875305,0.0830657109618187,0.0830657109618187
58,0.04823128134012222,6.1035155e-09,0.04823128134012222,0.08306488394737244,0.08306488394737244
59,0.0482124462723732,6.1035155e-09,0.0482124462723732,0.08306427299976349,0.08306427299976349
